
2022-12-10|15:30:00|Holiday party season|Client Payment|950.00
2023-01-25|11:00:00|New Year makeup appointments|Client Payment|575.00
2023-02-14|13:15:00|Brow products and tools|Benefit Cosmetics|-92.75
2023-03-30|10:45:00|Spring bridal season begins|Client Payment|1125.00
2023-04-18|14:00:00|Makeup masterclass attendance|Workshop Fee|-350.00
2023-05-22|16:30:00|Corporate headshot sessions|Client Payment|680.00
2023-06-15|09:15:00|Waterproof makeup products|Urban Decay|-156.80
2023-07-28|12:00:00|Summer wedding bookings|Client Payment|1450.00
2023-08-10|10:30:00|Website hosting and domain renewal|GoDaddy|-145.88
2023-09-20|15:00:00|Fashion Week assistance|Designer Payment|2200.00
2023-10-31|14:15:00|Halloween special effects bookings|Client Payment|875.00
2023-11-15|11:45:00|Holiday makeup collection|Charlotte Tilbury|-234.50
2023-12-20|13:30:00|New Year's Eve makeup sessions|Client Payment|1050.00
2024-01-15|10:00:00|January bridal consultations|Client Payment|625.00
2024-02-14|15:45:00|Valentine's Day specials|Client Payment|525.00
2024-03-25|09:30:00|Spring makeup trends restock|Sephora|-289.99
2024-04-30|14:20:00|Prom season - 8 clients|Client Payment|960.00
2024-05-18|11:00:00|Bridal season peak bookings|Client Payment|2100.00
2024-06-22|16:00:00|Summer photoshoots|Client Payment|775.00
2024-07-15|10:45:00|Cooling facial sprays and primers|Tatcha|-123.50
2024-08-28|13:15:00|Back to school senior portraits|Client Payment|540.00
2024-09-10|09:00:00|Fall makeup collection|Too Faced|-167.80
2024-10-12|14:30:00|October wedding bookings|Client Payment|1325.00
2024-11-22|10:15:00|Holiday glam products|Huda Beauty|-198.75
2024-12-15|16:00:00|Holiday party makeup sessions|Client Payment|1150.00
2025-01-10|11:30:00|New Year client bookings|Client Payment|675.00
2025-02-14|14:00:00|Valentine's Day makeup - 6 clients|Client Payment|720.00
2025-03-20|09:45:00|Spring wedding trial sessions|Client Payment|450.00
2025-04-15|13:20:00|Bridal makeup products restock|MAC Cosmetics|-234.60
2025-05-10|15:30:00|May wedding season bookings|Client Payment|2250.00
2025-06-18|10:00:00|Graduation and prom makeup|Client Payment|825.00
2025-07-22|14:45:00|Summer bridal parties - 4 weddings|Client Payment|1980.00
2025-08-15|11:15:00|Professional lighting upgrade|B&H Photo|-456.99
2025-09-08|16:20:00|Fall photoshoot sessions|Client Payment|890.00
2025-10-05|10:30:00|October bridal bookings|Client Payment|1575.00
2025-10-11|09:00:00|Halloween special effects supplies|Mehron|-112.50
